p_UserName,p_Password,p_ProductID,p_ProductType,p_ProductName,p_ForeignProductID,p_ForeignProductType,p_ForeignProductName,p_ProductName_ORG_DSC,p_ProductID_ORG_DSC,p_ProductType_ORG_DSC
user1,pass001,1001,Type1,Product1,2001,TypeF1,ForeignProduct1,Product1_Desc,1001_Desc,Type1_Desc
user2,pass002,1002,Type2,Product2,2002,TypeF2,ForeignProduct2,Product2_Desc,1002_Desc,Type2_Desc
user3,pass003,1003,Type3,Product3,2003,TypeF0,ForeignProduct3,Product3_Desc,1003_Desc,Type3_Desc
user4,pass004,1004,Type4,Product4,2004,TypeF1,ForeignProduct4,Product4_Desc,1004_Desc,Type4_Desc
user5,pass005,1005,Type0,Product5,2005,TypeF2,ForeignProduct5,Product5_Desc,1005_Desc,Type0_Desc
user6,pass006,1006,Type1,Product6,2006,TypeF0,ForeignProduct6,Product6_Desc,1006_Desc,Type1_Desc
user7,pass007,1007,Type2,Product7,2007,TypeF1,ForeignProduct7,Product7_Desc,1007_Desc,Type2_Desc
user8,pass008,1008,Type3,Product8,2008,TypeF2,ForeignProduct8,Product8_Desc,1008_Desc,Type3_Desc
user9,pass009,1009,Type4,Product9,2009,TypeF0,ForeignProduct9,Product9_Desc,1009_Desc,Type4_Desc
user10,pass010,10010,Type0,Product10,20010,TypeF1,ForeignProduct10,Product10_Desc,10010_Desc,Type0_Desc
user11,pass011,10011,Type1,Product11,20011,TypeF2,ForeignProduct11,Product11_Desc,10011_Desc,Type1_Desc
user12,pass012,10012,Type2,Product12,20012,TypeF0,ForeignProduct12,Product12_Desc,10012_Desc,Type2_Desc
user13,pass013,10013,Type3,Product13,20013,TypeF1,ForeignProduct13,Product13_Desc,10013_Desc,Type3_Desc
user14,pass014,10014,Type4,Product14,20014,TypeF2,ForeignProduct14,Product14_Desc,10014_Desc,Type4_Desc
user15,pass015,10015,Type0,Product15,20015,TypeF0,ForeignProduct15,Product15_Desc,10015_Desc,Type0_Desc
user16,pass016,10016,Type1,Product16,20016,TypeF1,ForeignProduct16,Product16_Desc,10016_Desc,Type1_Desc
user17,pass017,10017,Type2,Product17,20017,TypeF2,ForeignProduct17,Product17_Desc,10017_Desc,Type2_Desc
user18,pass018,10018,Type3,Product18,20018,TypeF0,ForeignProduct18,Product18_Desc,10018_Desc,Type3_Desc
user19,pass019,10019,Type4,Product19,20019,TypeF1,ForeignProduct19,Product19_Desc,10019_Desc,Type4_Desc
user20,pass020,10020,Type0,Product20,20020,TypeF2,ForeignProduct20,Product20_Desc,10020_Desc,Type0_Desc
user21,pass021,10021,Type4,Product21,20021,TypeF1,ForeignProduct21,Product19_Desc,10019_Desc,Type4_Desc
user22,pass022,10022,Type8,Product22,20022,TypeF2,ForeignProduct22,Product20_Desc,10020_Desc,Type0_Desc
user23,pass023,10023,Type12,Product23,20023,TypeF0,ForeignProduct23,Product19_Desc,10019_Desc,Type4_Desc
user24,pass024,10024,Type16,Product24,20024,TypeF1,ForeignProduct24,Product20_Desc,10020_Desc,Type0_Desc
user25,pass025,10025,Type20,Product25,20025,TypeF2,ForeignProduct25,Product19_Desc,10019_Desc,Type4_Desc
user26,pass026,10026,Type24,Product26,20026,TypeF0,ForeignProduct26,Product20_Desc,10020_Desc,Type0_Desc
user27,pass027,10027,Type28,Product27,20027,TypeF1,ForeignProduct27,Product19_Desc,10019_Desc,Type4_Desc
user28,pass028,10028,Type32,Product28,20028,TypeF2,ForeignProduct28,Product20_Desc,10020_Desc,Type0_Desc
user29,pass029,10029,Type36,Product29,20029,TypeF0,ForeignProduct29,Product19_Desc,10019_Desc,Type4_Desc
user30,pass030,10030,Type40,Product30,20030,TypeF1,ForeignProduct30,Product20_Desc,10020_Desc,Type0_Desc
user31,pass031,10031,Type44,Product31,20031,TypeF2,ForeignProduct31,Product19_Desc,10019_Desc,Type4_Desc
user32,pass032,10032,Type48,Product32,20032,TypeF0,ForeignProduct32,Product20_Desc,10020_Desc,Type0_Desc
user33,pass033,10033,Type52,Product33,20033,TypeF1,ForeignProduct33,Product19_Desc,10019_Desc,Type4_Desc
user34,pass034,10034,Type56,Product34,20034,TypeF2,ForeignProduct34,Product20_Desc,10020_Desc,Type0_Desc
user35,pass035,10035,Type60,Product35,20035,TypeF0,ForeignProduct35,Product19_Desc,10019_Desc,Type4_Desc
user36,pass036,10036,Type64,Product36,20036,TypeF1,ForeignProduct36,Product20_Desc,10020_Desc,Type0_Desc
user37,pass037,10037,Type68,Product37,20037,TypeF2,ForeignProduct37,Product19_Desc,10019_Desc,Type4_Desc
user38,pass038,10038,Type72,Product38,20038,TypeF0,ForeignProduct38,Product20_Desc,10020_Desc,Type0_Desc
user39,pass039,10039,Type76,Product39,20039,TypeF1,ForeignProduct39,Product19_Desc,10019_Desc,Type4_Desc
